"weeksábado" "weekterça" "no2_11" "weeksábado:no_7" "weeksegunda:no_9" "weeksegunda:no_10" "weekquarta:no_11" "weeksábado:no_13" "weeksegunda:no_13" "weeksábado:no2_8" "weekquinta:no2_9" "weeksegunda:no2_10" "weeksábado:no2_11" "weeksegunda:no2_11" "weeksábado:no2_12" "weekquarta:no2_13" "weeksábado:CO_7" "weeksexta:CO_7" "weekquinta:CO_8" "weeksábado:CO_8" "weekquarta:CO_9" "weeksegunda:CO_9" "weekterça:CO_9" "weekquarta:CO_10" "weeksábado:CO_10" "weeksexta:CO_10" "weekquarta:CO_11" "weekquinta:CO_11" "weekterça:CO_11" "weeksegunda:CO_12" "weekterça:CO_12" "weekquinta:CO_13" "weeksábado:CO_13" "weeksexta:CO_13" "weekterça:CO_13" "seasonFall" "seasonFall:Tem" "seasonWinter:Tem" "seasonSpring:Tem" "seasonFall:WS" "seasonSpring:WS" "ONI:seasonFall" "ONI:seasonWinter"
0 0 0.24783456064853 0 0 0 -0.0191073964814389 0 0 0 0 0 0 0 0 0.212810798322569 0 0 0 0 -0.172341059495874 0 0 -0.169244038266817 0 0 0.194470466316093 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0.24783456064853 0 0 0 0 0 0 0 0.0810033783897143 0 0 0 0 0 0 0 0.245274533647731 0 0 0 0 0 0 0 0 0.0636510765227713 0 0 0 0.355616273974555 0 0 0 0 0 0 0 0 0 0 0
0 0 0.24783456064853 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.262771158889321 0 0 0 0 0 0 0 0.0747664497892286 0 0 0 0 0 0 0 0.239829237759433 0 0 0 0 0 0 0 0 0
1 0 0.24783456064853 -0.192661334555045 0 0 0 -0.0493384954221666 0 0.0221691113141187 0 0 0.24783456064853 0 0.256268279039089 0 -0.679995768784384 0 0 -0.894276347179355 0 0 0 0 -0.226074311133644 0 0 0 0 0 0 0 -0.468956383500771 0 0 0 0 0 0 0 0 0 0
0 0 0.24783456064853 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0.24783456064853 0 -0.0683290635760459 -0.0527014858776145 0 0 -0.0493384954221666 0 0 0.114245088307253 0 0.24783456064853 0 0 0 0 0 0 0 -0.158815159888044 0 0 0 0 0 0 0 0.589966914121905 0 0 0 0 0 0 0 0 0 0 0 0 0
0 1 0.24783456064853 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.215766316131539 0 0 0 0 0 8.18050200969189 0 1.28398883215915 0 0 0 8.76841410012491 0 0 0 0 0 0 0 0
0 0 0.24783456064853 0 0 0 -0.0191073964814389 0 0 0 0 0 0 0 0 0.212810798322569 0 0 0 0 5.72281550115897 0 0 2.61745356972703 0 0 -1.07772734385441 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0.24783456064853 0 0 0 0 0 0 0 0.0810033783897143 0 0 0 0 0 0 0 0.634329600122891 0 0 0 0 0 0 0 0 0.656726651011896 0 0 0 0.199477704108498 0 0 0 0 0 0 0 0 0 0 0
0 0 0.24783456064853 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.308960920357852 0 0 0 0 0 0 0 0.203893462189171 0 0 0 0 0 0 0 0.668489741790179 0 0 0 0 0 0 0 0 0
1 0 0.24783456064853 -0.192661334555045 0 0 0 -0.0493384954221666 0 0.0221691113141187 0 0 0.24783456064853 0 0.256268279039089 0 -0.477327439712162 0 0 -0.63023086267661 0 0 0 0 -0.31872923702285 0 0 0 0 0 0 0 -0.175413884392307 0 0 0 0 0 0 0 0 0 0
0 0 0.24783456064853 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0.24783456064853 0 -0.0683290635760459 -0.0527014858776145 0 0 -0.0493384954221666 0 0 0.114245088307253 0 0.24783456064853 0 0 0 0 0 0 0 0.739144398944948 0 0 0 0 0 0 0 0.612708125021476 0 0 0 0 0 0 0 0 0 0 0 0 0
0 1 0.24783456064853 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.638945958429048 0 0 0 0 0 0.448281431100959 0 -0.0632757522535847 0 0 0 -0.0510297849732299 0 0 0 0 0 0 0 0
